year,XN
1888,-0.321828049585427
1889,-0.272060025629968
1890,-0.251736976601327
1891,-0.260770790391716
1892,-0.2377241293844
1893,-0.19962304159289
1894,-0.166908636289852
1895,-0.144084017391191
1896,-0.129640226771176
1897,-0.120448459361473
1898,-0.114187280037922
1899,-0.110354362149497
1900,-0.107910091055502
1901,-0.107019016290602
1902,-0.121048732641802
1903,-0.244347657921212
1904,-0.274395254528169
1905,-0.248950407937122
1906,-0.210453680924226
1907,-0.200908634914157
1908,-0.182478549232511
1909,-0.159504657390768
1910,-0.143497779673221
1911,-0.133452502051529
1912,-0.189721077798171
1913,-0.244670790112673
1914,-0.237882859813422
1915,-0.204554148814476
1916,-0.170745062147419
1917,-0.142145729239529
1918,-0.119808179335917
1919,-0.106703839141376
1920,-0.100415316953254
1921,-0.0978637736384421
1922,-0.115028760333348
1923,-0.123113222617874
1924,-0.116658772977347
1925,-0.109091938876465
1926,-0.0997762467964088
1927,-0.0896828602868787
1928,-0.0879047686040449
1929,-0.112538175884722
1930,-0.103375407385505
1931,-0.0978736097228398
1932,-0.119117168824932
1933,-0.118922654084916
1934,-0.111687032490737
1935,-0.102886808429689
1936,-0.0890316145667223
1937,-0.0780185205426714
1938,-0.0708472640691386
1939,-0.0656617354106743
1940,-0.0640300996077763
1941,-0.0646532064368268
1942,-0.0673471895321323
1943,-0.0716573056008913
1944,-0.0742653367019805
1945,-0.0718532801955256
1946,-0.0678809526619526
1947,-0.0591942719553353
1948,-0.0505989113906267
1949,-0.0458411197399054
1950,-0.0463065427316861
1951,-0.0521020143201818
1952,-0.0567252802222231
1953,-0.0618387855293682
1954,-0.0657070101239512
1955,-0.0652793092187444
1956,-0.0575148614615468
1957,-0.0446598502107657
1958,-0.0338992762910397
1959,-0.0295463112900126
1960,-0.0288386734748845
1961,-0.0346910896995975
1962,-0.0688075949568282
1963,-0.194821091131363
1964,-0.282405885328326
1965,-0.305218332308298
1966,-0.258966170189488
1967,-0.250285392455433
1968,-0.230216868811333
1969,-0.203167478946879
1970,-0.181752235725497
1971,-0.186263586302758
1972,-0.177406879293899
1973,-0.156714734929411
1974,-0.150245098966892
1975,-0.192754052593049
1976,-0.189030971078915
1977,-0.168767995001639
1978,-0.143841326750853
1979,-0.120553677701269
1980,-0.11005151838124
1981,-0.107076927292796
1982,-0.143952315422087
1983,-0.244220849670094
1984,-0.266685469617831
1985,-0.25441468819698
1986,-0.243334953605759
1987,-0.223986588327651
1988,-0.195991227906852
1989,-0.16159106779795
1990,-0.137037519099593
1991,-0.193721757753656
1992,-0.406043270352192
1993,-0.467188386346125
1994,-0.418220803700957
1995,-0.356595475715161
1996,-0.301426113818793
1997,-0.253782032313377
1998,-0.210920847718949
1999,-0.17349733990688
2000,-0.141451967648138
2001,-0.11877464860372
2002,-0.0995629760730851
2003,-0.0942778165957439
2004,-0.0921144163215988
2005,-0.0973786515420762
2006,-0.106256362943903
2007,-0.114844716848995
2008,-0.119596812312286
2009,-0.127580886817863
2010,-0.125664558977004
2011,-0.124715275818603
2012,-0.117234126356524
2013,-0.107188157079948
2014,-0.101299983648147
2015,-0.0923260515527159
2016,-0.0899326496118655
2017,-0.0892269764842206
2018,-0.0890869663206315
2019,-0.0889776320759656
2020,-0.0881669166096936
2021,-0.0829505970106458
2022,-0.073959916929686
2023,-0.0642096360066531
2024,-0.0555614571183598
2025,-0.0515622263882932
